Date,Province_State,Population,People_at_least_one_dose,People_fully_vaccinated
2020-12-16,Maine,1344212,0,0
2020-12-16,Maryland,6045680,0,0
2020-12-16,Massachusetts,6892503,0,0
2020-12-16,Michigan,9986857,0,0
2020-12-16,Minnesota,5639632,0,0
2020-12-16,Mississippi,2976149,0,0
2020-12-16,Missouri,6137428,0,0
2020-12-16,Montana,1068778,0,0
2020-12-16,Nebraska,1934408,0,0
2020-12-16,Nevada,3080156,0,0
2020-12-16,New Hampshire,1359711,0,0
2020-12-16,New Jersey,8882190,0,0
2020-12-16,New Mexico,2096829,0,0
2020-12-16,New York,19453561,0,0
2020-12-16,North Carolina,10488084,0,0
2020-12-16,North Dakota,762062,0,0
2020-12-16,Northern Mariana Islands,55144,0,0
2020-12-16,Ohio,11689100,0,0
2020-12-16,Oklahoma,3956971,0,0
2020-12-16,Oregon,4217737,0,0
2020-12-16,Pennsylvania,12801989,0,0
2020-12-16,Puerto Rico,3193694,0,0
2020-12-16,Rhode Island,1059361,0,0
2020-12-16,South Carolina,5148714,0,0
2020-12-16,South Dakota,884659,0,0
2020-12-16,Tennessee,6829174,0,0
2020-12-16,Texas,28995881,0,0
2020-12-16,Utah,3205958,0,0
2020-12-16,Vermont,623989,0,0
2020-12-16,Veterans Health Administration,NA,0,0
2020-12-16,Virgin Islands,107268,0,0
2020-12-16,Virginia,8535519,0,0
2020-12-16,Washington,7614893,0,0
2020-12-16,West Virginia,1792147,0,0
2020-12-16,Wisconsin,5822434,0,0
2020-12-16,Wyoming,578759,0,0
2020-12-17,NA,NA,0,0
2020-12-17,Alabama,4903185,0,0
2020-12-17,Alaska,731545,0,0
2020-12-17,American Samoa,55641,0,0
2020-12-17,Arizona,7278717,0,0
2020-12-17,Arkansas,3017804,0,0
2020-12-17,California,39512223,0,0
2020-12-17,Colorado,5758736,0,0
2020-12-17,Connecticut,3565287,0,0
2020-12-17,Delaware,973764,0,0
2020-12-17,Department of Defense,NA,0,0
2020-12-17,District of Columbia,705749,0,0
2020-12-17,Federal Bureau of Prisons,NA,0,0
2020-12-17,Florida,21477737,0,0
2020-12-17,Georgia,10617423,0,0
2020-12-17,Guam,164229,0,0
2020-12-17,Hawaii,1415872,0,0
2020-12-17,Idaho,1787065,0,0
2020-12-17,Illinois,12671821,0,0
2020-12-17,Indian Health Services,NA,0,0
2020-12-17,Indiana,6732219,0,0
2020-12-17,Iowa,3155070,0,0
2020-12-17,Kansas,2913314,0,0
2020-12-17,Kentucky,4467673,0,0
2020-12-17,Long Term Care (LTC) Program,NA,0,0
2020-12-17,Louisiana,4648794,0,0
2020-12-17,Maine,1344212,0,0
2020-12-17,Maryland,6045680,0,0
2020-12-17,Massachusetts,6892503,0,0
2020-12-17,Michigan,9986857,0,0
2020-12-17,Minnesota,5639632,0,0
2020-12-17,Mississippi,2976149,0,0
2020-12-17,Missouri,6137428,0,0
2020-12-17,Montana,1068778,0,0
2020-12-17,Nebraska,1934408,0,0
2020-12-17,Nevada,3080156,0,0
2020-12-17,New Hampshire,1359711,0,0
2020-12-17,New Jersey,8882190,0,0
2020-12-17,New Mexico,2096829,0,0
2020-12-17,New York,19453561,0,0
2020-12-17,North Carolina,10488084,0,0
2020-12-17,North Dakota,762062,0,0
2020-12-17,Northern Mariana Islands,55144,0,0
2020-12-17,Ohio,11689100,0,0
2020-12-17,Oklahoma,3956971,0,0
2020-12-17,Oregon,4217737,0,0
2020-12-17,Pennsylvania,12801989,0,0
2020-12-17,Puerto Rico,3193694,0,0
2020-12-17,Rhode Island,1059361,0,0
2020-12-17,South Carolina,5148714,0,0
2020-12-17,South Dakota,884659,0,0
2020-12-17,Tennessee,6829174,0,0
2020-12-17,Texas,28995881,0,0
2020-12-17,Utah,3205958,0,0
2020-12-17,Vermont,623989,0,0
2020-12-17,Veterans Health Administration,NA,0,0
2020-12-17,Virgin Islands,107268,0,0
2020-12-17,Virginia,8535519,0,0
2020-12-17,Washington,7614893,0,0
2020-12-17,West Virginia,1792147,0,0
2020-12-17,Wisconsin,5822434,0,0
2020-12-17,Wyoming,578759,0,0
2020-12-18,NA,NA,0,0
2020-12-18,Alabama,4903185,0,0
2020-12-18,Alaska,731545,0,0
2020-12-18,American Samoa,55641,0,0
2020-12-18,Arizona,7278717,0,0
2020-12-18,Arkansas,3017804,0,0
2020-12-18,California,39512223,0,0
2020-12-18,Colorado,5758736,0,0
2020-12-18,Connecticut,3565287,0,0
2020-12-18,Delaware,973764,0,0
2020-12-18,Department of Defense,NA,0,0
2020-12-18,District of Columbia,705749,0,0
2020-12-18,Federal Bureau of Prisons,NA,0,0
2020-12-18,Florida,21477737,0,0
2020-12-18,Georgia,10617423,0,0
2020-12-18,Guam,164229,0,0
2020-12-18,Hawaii,1415872,0,0
2020-12-18,Idaho,1787065,0,0
2020-12-18,Illinois,12671821,0,0
2020-12-18,Indian Health Services,NA,0,0
2020-12-18,Indiana,6732219,0,0
2020-12-18,Iowa,3155070,0,0
2020-12-18,Kansas,2913314,0,0
2020-12-18,Kentucky,4467673,0,0
2020-12-18,Long Term Care (LTC) Program,NA,0,0
2020-12-18,Louisiana,4648794,0,0
2020-12-18,Maine,1344212,0,0
2020-12-18,Maryland,6045680,0,0
2020-12-18,Massachusetts,6892503,0,0
2020-12-18,Michigan,9986857,0,0
2020-12-18,Minnesota,5639632,0,0
2020-12-18,Mississippi,2976149,0,0
2020-12-18,Missouri,6137428,0,0
2020-12-18,Montana,1068778,0,0
2020-12-18,Nebraska,1934408,0,0
2020-12-18,Nevada,3080156,0,0
2020-12-18,New Hampshire,1359711,0,0
2020-12-18,New Jersey,8882190,0,0
2020-12-18,New Mexico,2096829,0,0
2020-12-18,New York,19453561,0,0
2020-12-18,North Carolina,10488084,0,0
2020-12-18,North Dakota,762062,0,0
2020-12-18,Northern Mariana Islands,55144,0,0
2020-12-18,Ohio,11689100,0,0
2020-12-18,Oklahoma,3956971,0,0
2020-12-18,Oregon,4217737,0,0
2020-12-18,Pennsylvania,12801989,0,0
2020-12-18,Puerto Rico,3193694,0,0
2020-12-18,Rhode Island,1059361,0,0
2020-12-18,South Carolina,5148714,0,0
2020-12-18,South Dakota,884659,0,0
2020-12-18,Tennessee,6829174,0,0
2020-12-18,Texas,28995881,0,0
2020-12-18,Utah,3205958,0,0
2020-12-18,Vermont,623989,0,0
2020-12-18,Veterans Health Administration,NA,0,0
2020-12-18,Virgin Islands,107268,0,0
2020-12-18,Virginia,8535519,0,0
2020-12-18,Washington,7614893,0,0
2020-12-18,West Virginia,1792147,0,0
2020-12-18,Wisconsin,5822434,0,0
2020-12-18,Wyoming,578759,0,0
2020-12-19,NA,NA,0,0
2020-12-19,Alabama,4903185,0,0
2020-12-19,Alaska,731545,0,0
2020-12-19,American Samoa,55641,0,0
2020-12-19,Arizona,7278717,0,0
2020-12-19,Arkansas,3017804,0,0
2020-12-19,California,39512223,0,0
2020-12-19,Colorado,5758736,0,0
2020-12-19,Connecticut,3565287,0,0
2020-12-19,Delaware,973764,0,0
2020-12-19,Department of Defense,NA,0,0
2020-12-19,District of Columbia,705749,0,0
2020-12-19,Federal Bureau of Prisons,NA,0,0
2020-12-19,Florida,21477737,0,0
2020-12-19,Georgia,10617423,0,0
2020-12-19,Guam,164229,0,0
2020-12-19,Hawaii,1415872,0,0
2020-12-19,Idaho,1787065,0,0
2020-12-19,Illinois,12671821,0,0
2020-12-19,Indian Health Services,NA,0,0
2020-12-19,Indiana,6732219,0,0
2020-12-19,Iowa,3155070,0,0
2020-12-19,Kansas,2913314,0,0
2020-12-19,Kentucky,4467673,0,0
2020-12-19,Long Term Care (LTC) Program,NA,0,0
2020-12-19,Louisiana,4648794,0,0
2020-12-19,Maine,1344212,0,0
2020-12-19,Maryland,6045680,0,0
2020-12-19,Massachusetts,6892503,0,0
2020-12-19,Michigan,9986857,0,0
2020-12-19,Minnesota,5639632,0,0
2020-12-19,Mississippi,2976149,0,0
2020-12-19,Missouri,6137428,0,0
2020-12-19,Montana,1068778,0,0
2020-12-19,Nebraska,1934408,0,0
2020-12-19,Nevada,3080156,0,0
2020-12-19,New Hampshire,1359711,0,0
2020-12-19,New Jersey,8882190,0,0
2020-12-19,New Mexico,2096829,0,0
2020-12-19,New York,19453561,0,0
2020-12-19,North Carolina,10488084,0,0
2020-12-19,North Dakota,762062,0,0
2020-12-19,Northern Mariana Islands,55144,0,0
2020-12-19,Ohio,11689100,0,0
2020-12-19,Oklahoma,3956971,0,0
2020-12-19,Oregon,4217737,0,0
2020-12-19,Pennsylvania,12801989,0,0
2020-12-19,Puerto Rico,3193694,0,0
2020-12-19,Rhode Island,1059361,0,0
2020-12-19,South Carolina,5148714,0,0
2020-12-19,South Dakota,884659,0,0
2020-12-19,Tennessee,6829174,0,0
2020-12-19,Texas,28995881,0,0
2020-12-19,Utah,3205958,0,0
2020-12-19,Vermont,623989,0,0
2020-12-19,Veterans Health Administration,NA,0,0
2020-12-19,Virgin Islands,107268,0,0
2020-12-19,Virginia,8535519,0,0
2020-12-19,Washington,7614893,0,0
2020-12-19,West Virginia,1792147,0,0
2020-12-19,Wisconsin,5822434,0,0
2020-12-19,Wyoming,578759,0,0
2020-12-20,NA,NA,0,0
2020-12-20,Alabama,4903185,0,0
2020-12-20,Alaska,731545,0,0
2020-12-20,American Samoa,55641,0,0
2020-12-20,Arizona,7278717,0,0
2020-12-20,Arkansas,3017804,0,0
2020-12-20,California,39512223,0,0
2020-12-20,Colorado,5758736,0,0
2020-12-20,Connecticut,3565287,0,0
2020-12-20,Delaware,973764,0,0
2020-12-20,Department of Defense,NA,0,0
2020-12-20,District of Columbia,705749,0,0
2020-12-20,Federal Bureau of Prisons,NA,0,0
2020-12-20,Florida,21477737,0,0
2020-12-20,Georgia,10617423,0,0
2020-12-20,Guam,164229,0,0
2020-12-20,Hawaii,1415872,0,0
2020-12-20,Idaho,1787065,0,0
2020-12-20,Illinois,12671821,0,0
2020-12-20,Indian Health Services,NA,0,0
2020-12-20,Indiana,6732219,0,0
2020-12-20,Iowa,3155070,0,0
2020-12-20,Kansas,2913314,0,0
2020-12-20,Kentucky,4467673,0,0
2020-12-20,Long Term Care (LTC) Program,NA,0,0
2020-12-20,Louisiana,4648794,0,0
2020-12-20,Maine,1344212,0,0
2020-12-20,Maryland,6045680,0,0
2020-12-20,Massachusetts,6892503,0,0
2020-12-20,Michigan,9986857,0,0
2020-12-20,Minnesota,5639632,0,0
2020-12-20,Mississippi,2976149,0,0
2020-12-20,Missouri,6137428,0,0
2020-12-20,Montana,1068778,0,0
2020-12-20,Nebraska,1934408,0,0
2020-12-20,Nevada,3080156,0,0
2020-12-20,New Hampshire,1359711,0,0
2020-12-20,New Jersey,8882190,0,0
2020-12-20,New Mexico,2096829,0,0
2020-12-20,New York,19453561,0,0
2020-12-20,North Carolina,10488084,0,0
2020-12-20,North Dakota,762062,0,0
2020-12-20,Northern Mariana Islands,55144,0,0
2020-12-20,Ohio,11689100,0,0
2020-12-20,Oklahoma,3956971,0,0
2020-12-20,Oregon,4217737,0,0
2020-12-20,Pennsylvania,12801989,0,0
2020-12-20,Puerto Rico,3193694,0,0
2020-12-20,Rhode Island,1059361,0,0
2020-12-20,South Carolina,5148714,0,0
2020-12-20,South Dakota,884659,0,0
2020-12-20,Tennessee,6829174,0,0
2020-12-20,Texas,28995881,0,0
2020-12-20,Utah,3205958,0,0
2020-12-20,Vermont,623989,0,0
2020-12-20,Veterans Health Administration,NA,0,0
2020-12-20,Virgin Islands,107268,0,0
2020-12-20,Virginia,8535519,0,0
2020-12-20,Washington,7614893,0,0
2020-12-20,West Virginia,1792147,0,0
2020-12-20,Wisconsin,5822434,0,0
2020-12-20,Wyoming,578759,0,0
2020-12-21,NA,NA,0,0
2020-12-21,Alabama,4903185,0,0
2020-12-21,Alaska,731545,0,0
2020-12-21,American Samoa,55641,0,0
2020-12-21,Arizona,7278717,0,0
2020-12-21,Arkansas,3017804,0,0
2020-12-21,California,39512223,0,0
2020-12-21,Colorado,5758736,0,0
2020-12-21,Connecticut,3565287,0,0
2020-12-21,Delaware,973764,0,0
2020-12-21,Department of Defense,NA,0,0
2020-12-21,District of Columbia,705749,0,0
2020-12-21,Federal Bureau of Prisons,NA,0,0
2020-12-21,Florida,21477737,0,0
2020-12-21,Georgia,10617423,0,0
2020-12-21,Guam,164229,0,0
2020-12-21,Hawaii,1415872,0,0
2020-12-21,Idaho,1787065,0,0
2020-12-21,Illinois,12671821,0,0
2020-12-21,Indian Health Services,NA,0,0
2020-12-21,Indiana,6732219,0,0
2020-12-21,Iowa,3155070,0,0
2020-12-21,Kansas,2913314,0,0
2020-12-21,Kentucky,4467673,0,0
2020-12-21,Long Term Care (LTC) Program,NA,0,0
2020-12-21,Louisiana,4648794,0,0
2020-12-21,Maine,1344212,0,0
2020-12-21,Maryland,6045680,0,0
2020-12-21,Massachusetts,6892503,0,0
2020-12-21,Michigan,9986857,0,0
2020-12-21,Minnesota,5639632,0,0
2020-12-21,Mississippi,2976149,0,0
2020-12-21,Missouri,6137428,0,0
2020-12-21,Montana,1068778,0,0
2020-12-21,Nebraska,1934408,0,0
2020-12-21,Nevada,3080156,0,0
2020-12-21,New Hampshire,1359711,0,0
2020-12-21,New Jersey,8882190,0,0
2020-12-21,New Mexico,2096829,0,0
2020-12-21,New York,19453561,0,0
2020-12-21,North Carolina,10488084,0,0
2020-12-21,North Dakota,762062,0,0
2020-12-21,Northern Mariana Islands,55144,0,0
2020-12-21,Ohio,11689100,0,0
2020-12-21,Oklahoma,3956971,0,0
2020-12-21,Oregon,4217737,0,0
2020-12-21,Pennsylvania,12801989,0,0
2020-12-21,Puerto Rico,3193694,0,0
2020-12-21,Rhode Island,1059361,0,0
2020-12-21,South Carolina,5148714,0,0
2020-12-21,South Dakota,884659,0,0
2020-12-21,Tennessee,6829174,0,0
2020-12-21,Texas,28995881,0,0
2020-12-21,Utah,3205958,0,0
2020-12-21,Vermont,623989,0,0
2020-12-21,Veterans Health Administration,NA,0,0
2020-12-21,Virgin Islands,107268,0,0
2020-12-21,Virginia,8535519,0,0
2020-12-21,Washington,7614893,0,0
2020-12-21,West Virginia,1792147,0,0
2020-12-21,Wisconsin,5822434,0,0
2020-12-21,Wyoming,578759,0,0
2020-12-22,NA,NA,0,0
2020-12-22,Alabama,4903185,0,0
2020-12-22,Alaska,731545,0,0
2020-12-22,American Samoa,55641,0,0
2020-12-22,Arizona,7278717,0,0
2020-12-22,Arkansas,3017804,0,0
2020-12-22,California,39512223,0,0
2020-12-22,Colorado,5758736,0,0
2020-12-22,Connecticut,3565287,0,0
2020-12-22,Delaware,973764,0,0
2020-12-22,Department of Defense,NA,0,0
2020-12-22,District of Columbia,705749,0,0
2020-12-22,Federal Bureau of Prisons,NA,0,0
2020-12-22,Florida,21477737,0,0
2020-12-22,Georgia,10617423,0,0
2020-12-22,Guam,164229,0,0
2020-12-22,Hawaii,1415872,0,0
2020-12-22,Idaho,1787065,0,0
2020-12-22,Illinois,12671821,0,0
2020-12-22,Indian Health Services,NA,0,0
2020-12-22,Indiana,6732219,0,0
2020-12-22,Iowa,3155070,0,0
2020-12-22,Kansas,2913314,0,0
2020-12-22,Kentucky,4467673,0,0
2020-12-22,Long Term Care (LTC) Program,NA,0,0
2020-12-22,Louisiana,4648794,0,0
2020-12-22,Maine,1344212,0,0
2020-12-22,Maryland,6045680,0,0
2020-12-22,Massachusetts,6892503,0,0
2020-12-22,Michigan,9986857,0,0
2020-12-22,Minnesota,5639632,0,0
2020-12-22,Mississippi,2976149,0,0
2020-12-22,Missouri,6137428,0,0
2020-12-22,Montana,1068778,0,0
2020-12-22,Nebraska,1934408,0,0
2020-12-22,Nevada,3080156,0,0
2020-12-22,New Hampshire,1359711,0,0
2020-12-22,New Jersey,8882190,0,0
2020-12-22,New Mexico,2096829,0,0
2020-12-22,New York,19453561,0,0
2020-12-22,North Carolina,10488084,0,0
2020-12-22,North Dakota,762062,0,0
2020-12-22,Northern Mariana Islands,55144,0,0
2020-12-22,Ohio,11689100,0,0
2020-12-22,Oklahoma,3956971,0,0
2020-12-22,Oregon,4217737,0,0
2020-12-22,Pennsylvania,12801989,0,0
2020-12-22,Puerto Rico,3193694,0,0
2020-12-22,Rhode Island,1059361,0,0
2020-12-22,South Carolina,5148714,0,0
2020-12-22,South Dakota,884659,0,0
2020-12-22,Tennessee,6829174,0,0
2020-12-22,Texas,28995881,0,0
2020-12-22,Utah,3205958,0,0
2020-12-22,Vermont,623989,0,0
2020-12-22,Veterans Health Administration,NA,0,0
2020-12-22,Virgin Islands,107268,0,0
2020-12-22,Virginia,8535519,0,0
2020-12-22,Washington,7614893,0,0
2020-12-22,West Virginia,1792147,0,0
2020-12-22,Wisconsin,5822434,0,0
2020-12-22,Wyoming,578759,0,0
2020-12-23,NA,NA,0,0
2020-12-23,Alabama,4903185,0,0
2020-12-23,Alaska,731545,0,0
2020-12-23,American Samoa,55641,0,0
2020-12-23,Arizona,7278717,0,0
2020-12-23,Arkansas,3017804,0,0
2020-12-23,California,39512223,0,0
2020-12-23,Colorado,5758736,0,0
2020-12-23,Connecticut,3565287,0,0
2020-12-23,Delaware,973764,0,0
2020-12-23,Department of Defense,NA,0,0
2020-12-23,District of Columbia,705749,0,0
2020-12-23,Federal Bureau of Prisons,NA,0,0
2020-12-23,Florida,21477737,0,0
2020-12-23,Georgia,10617423,0,0
2020-12-23,Guam,164229,0,0
2020-12-23,Hawaii,1415872,0,0
2020-12-23,Idaho,1787065,0,0
2020-12-23,Illinois,12671821,0,0
2020-12-23,Indian Health Services,NA,0,0
2020-12-23,Indiana,6732219,0,0
2020-12-23,Iowa,3155070,0,0
2020-12-23,Kansas,2913314,0,0
2020-12-23,Kentucky,4467673,0,0
2020-12-23,Long Term Care (LTC) Program,NA,0,0
2020-12-23,Louisiana,4648794,0,0
2020-12-23,Maine,1344212,0,0
2020-12-23,Maryland,6045680,0,0
2020-12-23,Massachusetts,6892503,0,0
2020-12-23,Michigan,9986857,0,0
2020-12-23,Minnesota,5639632,0,0
2020-12-23,Mississippi,2976149,0,0
2020-12-23,Missouri,6137428,0,0
2020-12-23,Montana,1068778,0,0
2020-12-23,Nebraska,1934408,0,0
2020-12-23,Nevada,3080156,0,0
2020-12-23,New Hampshire,1359711,0,0
2020-12-23,New Jersey,8882190,0,0
2020-12-23,New Mexico,2096829,0,0
2020-12-23,New York,19453561,0,0
2020-12-23,North Carolina,10488084,0,0
2020-12-23,North Dakota,762062,0,0
2020-12-23,Northern Mariana Islands,55144,0,0
2020-12-23,Ohio,11689100,0,0
2020-12-23,Oklahoma,3956971,0,0
2020-12-23,Oregon,4217737,0,0
2020-12-23,Pennsylvania,12801989,0,0
2020-12-23,Puerto Rico,3193694,0,0
2020-12-23,Rhode Island,1059361,0,0
2020-12-23,South Carolina,5148714,0,0
2020-12-23,South Dakota,884659,0,0
2020-12-23,Tennessee,6829174,0,0
2020-12-23,Texas,28995881,0,0
2020-12-23,Utah,3205958,0,0
2020-12-23,Vermont,623989,0,0
2020-12-23,Veterans Health Administration,NA,0,0
2020-12-23,Virgin Islands,107268,0,0
2020-12-23,Virginia,8535519,0,0
2020-12-23,Washington,7614893,0,0
2020-12-23,West Virginia,1792147,0,0
2020-12-23,Wisconsin,5822434,0,0
2020-12-23,Wyoming,578759,0,0
2020-12-24,NA,NA,0,0
2020-12-24,Alabama,4903185,0,0
2020-12-24,Alaska,731545,0,0
2020-12-24,American Samoa,55641,0,0
2020-12-24,Arizona,7278717,0,0
2020-12-24,Arkansas,3017804,0,0
2020-12-24,California,39512223,0,0
2020-12-24,Colorado,5758736,0,0
2020-12-24,Connecticut,3565287,0,0
2020-12-24,Delaware,973764,0,0
2020-12-24,Department of Defense,NA,0,0
2020-12-24,District of Columbia,705749,0,0
2020-12-24,Federal Bureau of Prisons,NA,0,0
2020-12-24,Florida,21477737,0,0
2020-12-24,Georgia,10617423,0,0
2020-12-24,Guam,164229,0,0
2020-12-24,Hawaii,1415872,0,0
2020-12-24,Idaho,1787065,0,0
2020-12-24,Illinois,12671821,0,0
2020-12-24,Indian Health Services,NA,0,0
2020-12-24,Indiana,6732219,0,0
2020-12-24,Iowa,3155070,0,0
2020-12-24,Kansas,2913314,0,0
2020-12-24,Kentucky,4467673,0,0
2020-12-24,Long Term Care (LTC) Program,NA,0,0
2020-12-24,Louisiana,4648794,0,0
2020-12-24,Maine,1344212,0,0
2020-12-24,Maryland,6045680,0,0
2020-12-24,Massachusetts,6892503,0,0
2020-12-24,Michigan,9986857,0,0
2020-12-24,Minnesota,5639632,0,0
2020-12-24,Mississippi,2976149,0,0
2020-12-24,Missouri,6137428,0,0
2020-12-24,Montana,1068778,0,0
2020-12-24,Nebraska,1934408,0,0
2020-12-24,Nevada,3080156,0,0
2020-12-24,New Hampshire,1359711,0,0
2020-12-24,New Jersey,8882190,0,0
2020-12-24,New Mexico,2096829,0,0
2020-12-24,New York,19453561,0,0
2020-12-24,North Carolina,10488084,0,0
2020-12-24,North Dakota,762062,0,0
2020-12-24,Northern Mariana Islands,55144,0,0
2020-12-24,Ohio,11689100,0,0
2020-12-24,Oklahoma,3956971,0,0
2020-12-24,Oregon,4217737,0,0
2020-12-24,Pennsylvania,12801989,0,0
2020-12-24,Puerto Rico,3193694,0,0
2020-12-24,Rhode Island,1059361,0,0
2020-12-24,South Carolina,5148714,0,0
2020-12-24,South Dakota,884659,0,0
2020-12-24,Tennessee,6829174,0,0
2020-12-24,Texas,28995881,0,0
2020-12-24,Utah,3205958,0,0
2020-12-24,Vermont,623989,0,0
2020-12-24,Veterans Health Administration,NA,0,0
2020-12-24,Virgin Islands,107268,0,0
2020-12-24,Virginia,8535519,0,0
2020-12-24,Washington,7614893,0,0
2020-12-24,West Virginia,1792147,0,0
2020-12-24,Wisconsin,5822434,0,0
2020-12-24,Wyoming,578759,0,0
2020-12-25,NA,NA,0,0
2020-12-25,Alabama,4903185,0,0
2020-12-25,Alaska,731545,0,0
2020-12-25,American Samoa,55641,0,0
2020-12-25,Arizona,7278717,0,0
2020-12-25,Arkansas,3017804,0,0
2020-12-25,California,39512223,0,0
2020-12-25,Colorado,5758736,0,0
2020-12-25,Connecticut,3565287,0,0
2020-12-25,Delaware,973764,0,0
2020-12-25,Department of Defense,NA,0,0
2020-12-25,District of Columbia,705749,0,0
2020-12-25,Federal Bureau of Prisons,NA,0,0
2020-12-25,Florida,21477737,0,0
2020-12-25,Georgia,10617423,0,0
2020-12-25,Guam,164229,0,0
2020-12-25,Hawaii,1415872,0,0
2020-12-25,Idaho,1787065,0,0
2020-12-25,Illinois,12671821,0,0
2020-12-25,Indian Health Services,NA,0,0
2020-12-25,Indiana,6732219,0,0
2020-12-25,Iowa,3155070,0,0
2020-12-25,Kansas,2913314,0,0
2020-12-25,Kentucky,4467673,0,0
2020-12-25,Long Term Care (LTC) Program,NA,0,0
2020-12-25,Louisiana,4648794,0,0
2020-12-25,Maine,1344212,0,0
2020-12-25,Maryland,6045680,0,0
2020-12-25,Massachusetts,6892503,0,0
2020-12-25,Michigan,9986857,0,0
2020-12-25,Minnesota,5639632,0,0
2020-12-25,Mississippi,2976149,0,0
2020-12-25,Missouri,6137428,0,0
2020-12-25,Montana,1068778,0,0
2020-12-25,Nebraska,1934408,0,0
2020-12-25,Nevada,3080156,0,0
2020-12-25,New Hampshire,1359711,0,0
2020-12-25,New Jersey,8882190,0,0
2020-12-25,New Mexico,2096829,0,0
2020-12-25,New York,19453561,0,0
2020-12-25,North Carolina,10488084,0,0
2020-12-25,North Dakota,762062,0,0
2020-12-25,Northern Mariana Islands,55144,0,0
2020-12-25,Ohio,11689100,0,0
2020-12-25,Oklahoma,3956971,0,0
2020-12-25,Oregon,4217737,0,0
2020-12-25,Pennsylvania,12801989,0,0
2020-12-25,Puerto Rico,3193694,0,0
2020-12-25,Rhode Island,1059361,0,0
2020-12-25,South Carolina,5148714,0,0
